pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2
1026,2,1,1,1,1,8,3,10,10
1045,1,1,3,4,5,23,21,27,25
1048,1,1,4,3,2,17,15,24,20
1056,2,1,4,6,7,25,25,33,27
1072,1,1,5,6,4,25,24,30,28
1091,1,1,3,3,3,20,16,27,25
1092,1,1,3,6,4,27,25,24,22
1119,2,1,2,3,5,18,17,14,14
1140,2,1,5,6,5,20,17,23,20
1146,2,1,4,3,3,23,21,22,15
1152,1,1,3,3,2,17,16,23,19
1159,2,1,5,4,3,15,10,8,8
1168,1,1,3,2,1,19,14,22,14
1176,2,1,3,3,2,20,19,19,14
1179,1,1, , , ,19,15,22,20
1209,1,1,3,4,4,16,14,19,18
1221,2,1,3,4,3,16,13,27,20
1226,2,1,1,1,1,26,25,22,20
1240,1,1,3,1,1,14,13,26,17
1260,2,1,3,2,1,19,16,18,17
1276,2,1,3,3,1,30,28,30,27
1279,2,1,3,4,1,20,19,16,14
1307,2,1,3,3,2,26,17,20,13
1323,1,1,3,3,4,26,24,27,23
1328,1,1,2,1, ,23,18,21,19
1353,1,1,5,6,5,26,24,32,30
1358,1,1,5,5, ,18,16,26,20
1365,2,1,3,4,5,24,22,27,24
1445,1,1,4,5,4,6,5,13,12
1478,2,1,2,4,3,17,15,18,17
1484,2,1,5,3,5,26,22,24,23
1503,1,1,3,4,4,18,16,23,22
7,1,2,3,2,4,9,8,19,16
30,2,2,5,3,2,24,22,21,20
123,2,2,2,1,2,17,14,17,11
149,2,2,5,5,5,27,26,34,33
190,1,2,4,5,5,24,20,32,30
207,2,2,3,5,3,28,26,28,25
209,2,2,3,5,3,25,20,25,24
270,2,2,3,1,2,21,17,13,7
310,2,2,3,6,4,24,21,19,19
332,1,2,3,3,3,24,21,28,25
367,2,2,3,3,3,27,21,28,21
393,2,2,5,5,4,19,19,16,14
421,2,2,2,4,2,17,16,13,5
430,1,2,3,3,3,25,23,25,22
442,2,2,3,3,3,22,21,17,10
461,2,2,3,2,2,18,18,17,13
466,1,2,2,3,2,20,17,22,20
484,2,2,5,4,3,22,16,26,24
555,1,2,4,4,4,19,18,21,19
574,2,2,3,3,2,17,16,14,11
581,2,2,4,5,5,23,18,23,15
636,2,2,4,3,1,23,19,22,14
637,1,2,4,4, ,22,19,23,19
643,1,2,3,4,5,21,21,20,19
654,2,2,3, , ,21,18,22,10
689,2,2,2,1,1,28,17,22,18
691,2,2,3,5,4,22,20,26,22
706,2,2, , , ,27,24,29,22
715,2,2,1, ,2,22,16,25,21
741,1,2,3,3,3,21,17,20,17
766,1,2,3,4,3,18,18,29,29
780,2,2,4,1,2,25,19,28,21
792,2,2,2,2,1,14,10,11,10
816,1,2,3,1,2,12,12,27,17
823,2,2,3,4,5,26,22,24,17
858,2,2,3,2,3,26,24,28,25
865,1,2,3,4,3,19,16,27,23
917,1,2,4,4,3,19,19,24,23
920,1,2,3,5,4,16,12,25,22
991,2,2,3,5,3,23,18,27,22
994,1,2,2,4,3,20,16,23,21
1028,2,2,3,3,3,19,12,16,11
1057,1,2,4,4,4,20,19,23,20
1074,2,2,3,4,4,19,18,26,21
1110,1,2,3,3,4,20,20,20,18
1113,1,2,3,3,4,12,11,16,13
1123,1,2,4,5,4,22,22,26,23
1138,2,2,4,6,4,24,17,21,14
1158,1,2,5,5,5,26,20,30,24
1164,1,2,3,3,4,15,9,20,17
1172,1,2,2,2,4,17,14,24,22
1173,2,2,3,3,2,21,19,18,17
1245,2,2,4,5,5,25,22,28,19
1258,2,2,4,3,7,26,20,22,17
1268,1,2,4,6,7,26,25,31,30
1332,1,2,6,6,6,21,9,32,18
1361,1,2,5,4,4,27,20,32,26
1388,2,2,4,4,2,27,21,20,14
1429,2,2,6,5,4,16,12,19,17
1468,2,2,3,4,2,22,16,20,20
1477,1,2,4,2,2,24,22,24,22
1481,2,2,2,3,1,20,16,16,13
1493,1,2,5,6,3,15,9,25,8
1499,2,2,3,6,3,12,9,14,13
1500,1,2,1,4,2,23,17,29,24
