pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2
89,2,2,3,2,4,19,12,17,17
108,1,2,4,5,4,23,18,27,21
109,1,2,6,5,7,28,27,34,34
140,2,2,5,4,4,21,20,21,20
149,2,2,5,5,5,27,26,34,33
177,2,2,3,4,3,30,27,24,23
184,2,2,5,6,4,24,19,23,20
207,2,2,3,5,3,28,26,28,25
237,1,2,1,1,3,28,24,24,21
312,2,2,2,2,1,27,25,20,20
331,1,2,4,2, ,18,13,24,23
396,1,2,5,6,6,26,23,33,26
406,2,2,2,3,2,22,22,29,19
411,2,2,3,4,7,19,15,23,20
421,2,2,2,4,2,17,16,13,5
451,2,2,3,3, ,26,22,25,21
452,2,2,3,3, ,21,17,19,14
461,2,2,3,2,2,18,18,17,13
471,1,2,1,1,2,22,17,28,20
557,2,2,6,5, ,27,21,34,20
568,2,2,5,6,4,22,19,22,20
575,1,2,5,5,5,23,22,33,26
579,1,2,3,4,5,20,13,27,24
583,1,2,3,1,1,18,17,23,21
667,1,2,4,3,4,17,11,21,19
684,1,2,4,6,4,15,15,20,14
685,2,2,5,4,1,19,14,30,15
689,2,2,2,1,1,28,17,22,18
693,2,2,1,1, ,17,14,25,19
723,2,2,3,4,2,20,18,25,24
740,2,2,3,3, ,21,15,17,13
741,1,2,3,3,3,21,17,20,17
774,2,2,4,3,7,17,11,19,18
789,1,2,3,3,2,17,12,17,16
809,2,2,3,6,4,29,26,25,19
822,2,2,4,4,2,15,14,24,15
858,2,2,3,2,3,26,24,28,25
861,1,2,5,3,2,23,22,27,26
863,2,2,6,6,3,29,27,26,24
879,2,2,4,4,2,22,17,25,20
881,2,2,3,3,3,18,16,30,19
925,2,2,3,1,4,20,20,22,20
935,2,2,6,6,4,27,25,32,25
983,2,2,5,3,3,22,21,33,21
1011,1,2,6,2,2,24,20,30,21
1036,2,2,1,2,5,22,18,10,10
1044,2,2,2,3,3,20,11,26,12
1071,1,2,4,6,5,14,11,26,24
1074,2,2,3,4,4,19,18,26,21
1108,2,2,3,2,3,21,12,16,14
1122,2,2,4,4,4,24,23,30,25
1144,2,2,5,3,2,28,19,25,21
1154,1,2,6,3,3,17,12,18,13
1189,2,2,3,2,1,18,11,19,12
1248,2,2,5,2, ,18,14,14,6
1250,2,2,4,3,2,23,19,16,16
1261,2,2,5,1,3,25,21,20,20
1306,1,2,4,1,1,17,13,19,16
1334,2,2,3,3,2,21,18,20,18
1341,1,2,5,5,5,22,19,25,25
1359,1,2,4,6,4,24,19,31,28
1387,2,2,3,5,3,21,20,26,22
1404,2,2,5,5, ,22,20,18,14
1437,1,2,3,4,4,24,20,30,20
1457,2,2,3,3,4,23,20,27,21
1486,2,2,3,4,2,26,24,19,14
1493,1,2,5,6,3,15,9,25,8
1496,2,2,3,4,5,22,20,21,19
