pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2
1485,1,1,4,4,1,21,21,30,29
33,2,2,6,6,2,23,18,26,13
61,2,2,3,4,3,27,23,26,22
92,1,2,3,4,4,20,18,24,17
109,1,2,6,5,7,28,27,34,34
113,2,2,5,6,3,26,19,29,28
124,1,2,3,3, ,17,13,14,14
149,2,2,5,5,5,27,26,34,33
166,2,2,4,5,5,23,21,20,18
170,2,2,5,5,3,22,14,22,17
173,1,2,4,1,2,25,20,23,12
175,2,2,4,5,4,25,24,27,21
179,1,2,3,5,4,25,19,33,28
318,1,2,2,2,3,24,19,30,20
324,2,2,4,6,5,28,26,20,19
375,2,2,2,1, ,23,21,24,14
415,2,2,5,5,4,19,15,26,21
428,2,2,3,6,2,27,25,33,31
453,1,2,4,1,1,21,19,33,32
456,2,2,3,3,2,20,16,20,16
467,1,2,5,3,3,25,22,26,25
476,2,2,6,2,4,14,14,20,14
478,2,2,3,1,3,23,13,20,10
497,2,2,4,6,4,19,18,25,18
509,2,2,3,2,5,18,15,18,11
515,2,2,1,3,4,19,17,13,8
524,1,2,3,4,1,19,18,20,17
553,1,2,3,3,3,25,20,29,24
588,2,2,1,1,1,19,17,24,18
610,2,2,3,4,4,27,17,35,29
618,2,2,1,2,3,23,21,25,25
656,1,2,4,4,3,24,23,32,30
659,2,2,6,3,4,18,10,23,8
689,2,2,2,1,1,28,17,22,18
764,2,2,2,1,1,13,11,17,11
774,2,2,4,3,7,17,11,19,18
791,2,2,1,3,2,20,14,24,23
792,2,2,2,2,1,14,10,11,10
806,2,2,3,5, ,25,22,32,30
809,2,2,3,6,4,29,26,25,19
847,1,2,1,1,2,24,20,29,26
853,1,2,2,2,2,20,17,30,22
863,2,2,6,6,3,29,27,26,24
867,1,2,3,4,2,13,13,20,12
879,2,2,4,4,2,22,17,25,20
914,1,2,3,2,3,16,15,24,22
921,1,2,4,3,3,22,21,34,26
983,2,2,5,3,3,22,21,33,21
1036,2,2,1,2,5,22,18,10,10
1071,1,2,4,6,5,14,11,26,24
1110,1,2,3,3,4,20,20,20,18
1122,2,2,4,4,4,24,23,30,25
1127,2,2,4,4,2,16,11,8,3
1173,2,2,3,3,2,21,19,18,17
1248,2,2,5,2, ,18,14,14,6
1258,2,2,4,3,7,26,20,22,17
1268,1,2,4,6,7,26,25,31,30
1327,1,2,5,5,4,22,21,22,20
1370,1,2,3,3,2,26,25,25,24
1411,1,2,4,6,5,17,16,24,20
1429,2,2,6,5,4,16,12,19,17
1433,1,2,1,3,1,27,22,22,14
